name=report.txt; size=2048; type=text; readonly=no
name=config.json; size=512; type=json; readonly=yes
name=image.png; size=10240; type=image; readonly=no
name=; size=1024; type=text; readonly=no
name=backup.zip; size=51200; type=archive; readonly=yes
name=notes.md; size=256; type=text; readonly=no
name=log.txt; size=8192; type=text; readonly=no
name=data.csv; size=4096; type=csv; readonly=no
name=readme; size=512; type=text; readonly=no
name=database.db; size=abc; type=database; readonly=no
name=photo.jpg; size=20480; type=image; readonly=yes
name=script.py; size=1024; type=code; readonly=no
name=archive.tar; size=102400; type=archive; readonly=yes
name=index.html; size=2048; type=text; readonly=invalid
name=styles.css; size=768; type=text; readonly=no
name=fonts.ttf; size=3072; type=font; readonly=no
name=video.mp4; size=-100; type=video; readonly=no
name=icon.ico; size=256; type=image; readonly=yes
